Feature,Mean |SHAP Value|
COURSE_PREF_COUNT,3.783108
DAYS_TO_ENROLL,0.97016877
RECENCY_DAYS,0.92512155
AVG_ACTION_GAP,0.63649756
ADMISSION_YEAR,0.3506797
IS_DOMESTIC,0.12744345
IS_CURRENT_STUDENT,0.1208899
AGE_NUM,0.0706095
FACULTY_Faculty of Health,0.04308356
"FACULTY_Faculty of Business, Government & Law",0.038672347
SEX_M,0.03846758
CSTATUS_INACTIVE,0.0377441
COURSE_Other,0.032898776
FACULTY_Faculty of Science and Technology,0.020374116
FACULTY_Faculty of Education,0.013713316
FACULTY_Other,0.012931294
IS_AUS_CAMPUS,0.011343409
COURSE_885AA.3,0.010462633
COURSE_364JA.1,0.0094780605
COURSE_SCM401.1,0.009088077
HAS_DISABILITY,0.008987201
IS_RESEARCH_COURSE,0.008549694
IS_RESEARCH_STUDENT,0.0057979664
COURSE_364JA.2,0.004682896
COURSE_780AA.4,0.0036691288
IS_ATSI,0.0034085745
COURSE_SCM002.1,0.0031503437
HAS_SCHOLARSHIP,0.0029031557
COURSE_ABB001.1,0.00271669
SEX_X,0.0016046724
COURSE_322AA.9,0.0014100904
COURSE_973AA.6,0.0012241439
SEX_U,0.0
IS_UCC_COURSE,0.0
